nombre,clasificacion,descripcion_breve,tours_que_ofrece,idiomas,whatsapp,instagram,facebook
Tip Tours,Operadora turística,"Vive Cholula a través de recorridos guiados que combinan historia, cultura y tradición.",Tour Cervecero en Cholula · Tranvía Cholula Mágica · Callejoneadas Cholultecas,Español (inglés/alemán con 24h de aviso),222 445 1919,@tiptoursdmc,facebook.com/TipToursDMC
Experiencias ConSentido,Operadora turística,"Experiencias vivenciales para conocer la historia, cultura, gastronomía y tradición de Cholula.",Cholula Arqueológica · Cholula Mágico · Cena Inmersiva · Antojos de Cholula · Avistamiento de Luciérnagas (solo julio),Español,565 561 7880,@experiencia_consentido,Experiencias ConSentido
Turibike Cholula,Tour en bicicleta,"Descubre Cholula en bicicleta recorriendo sus calles, barrios tradicionales y principales atractivos.",,No especificado,222 334 8195,@turibike_cholula,facebook.com/Cholula.TuriBike
Turiwheel Cholula,Tour en carrito clásico,"Recorre Cholula a bordo de elegantes carritos de estilo clásico, conociendo sus monumentos e historia.",,No especificado,55 1120 0361,@turiwheelcholula,facebook.com/Turiwheel
2RB - 2 Ruedas Bueno,Experiencias en bicicleta y outdoor,"Explora Cholula y sus alrededores en bicicleta, senderismo y campamentos.","Chipilo Véneto (cada domingo) · Cholula Milenaria (cada sábado) · Pedal y Café (cada jueves). También ofrecen expediciones de temporada a los volcanes (Izta-Popo, Malinche) — fechas variables, consultar directamente.","Español, Inglés",222 434 6184,@2ruedasbueno,2RB - 2 Ruedas Bueno
Cholula Free Walking Tour,Recorrido a pie,"Conoce la historia, leyendas y secretos de Cholula caminando por sus calles y templos.",,No especificado,782 362 8714,@freewalktourcholula,
Terra Equus,Centro Equino Integral,Experiencias de naturaleza y bienestar para conectar con los caballos y el entorno.,Cabalgatas guiadas · Clases de manejo equino · Desayuno en el rancho,"Español, Inglés",221 438 1378,@terra_equus,@terra.equus
